Property Number,Webpage,Value,Beds,Baths,LivingSpace,LotSize,YearBuilt,TotRooms,BuildExtType,SchoolDist
1,https://www.realtor.com/realestateandhomes-detail/9989-Puddle-Duck-Ln_Mechanicsville_VA_23116_M64785-40609?view=qv,498570,5,4,3558,0.26,2019,16,Brick/Vinyl,Atlee
2,https://www.realtor.com/realestateandhomes-detail/14146-Hickory-Oaks-Ln_Ashland_VA_23005_M55991-30830?view=qv,275000,3,1.5,1920,3.08,1968,6,Wood,Patrick Henry
3,https://www.realtor.com/realestateandhomes-detail/15024-Bethany-Church-Rd_Montpelier_VA_23192_M58307-47589?view=qv,94900,3,2,1296,1.44,2001,6,Vinyl,Patrick Henry
4,https://www.realtor.com/realestateandhomes-detail/2125-Ettington-Ln_Mechanicsville_VA_23111_M52992-70500?ex=VA653659218&view=qv,575000,5,3.5,4613,10.01,2005,12,Brick/Vinyl,Lee Davis
5,https://www.realtor.com/realestateandhomes-detail/10772-Providence-Woods-Ln_Ashland_VA_23005_M68462-83559?view=qv,425000,3,1,2854,0.19,2017,8,Brick/Vinyl,Hanover
6,https://www.realtor.com/realestateandhomes-detail/13887-Stanley-Park-Dr_Ashland_VA_23005_M57592-73314?view=qv,443724,4,2,2297,0.23,2019,8,Vinyl,Patrick Henry
7,https://www.realtor.com/realestateandhomes-detail/12366-Cedar-Ln_Ashland_VA_23005_M68425-91237?view=qv,517977,4,3.5,3744,6.27,1976,10,Vinyl,Patrick Henry
8,https://www.realtor.com/realestateandhomes-detail/13060-Auburn-Mill-Rd_Glen-Allen_VA_23059_M69552-89499?view=qv,259950,3,2.5,1714,0.57,2009,6,Vinyl,Patrick Henry
9,https://www.realtor.com/realestateandhomes-detail/7085-Haynes-Dr_Mechanicsville_VA_23111_M53616-08932?view=qv,239950,4,2,1508,0.43,1965,6,Brick/Vinyl,Lee Davis
10,https://www.realtor.com/realestateandhomes-detail/10505-Oak-Cottage-Dr_Mechanicsville_VA_23116_M60585-61816?view=qv,295000,4,2.5,2196,0.54,1994,7,Vinyl,Atlee
11,https://www.realtor.com/realestateandhomes-detail/10265-Cloverlea-Ct_Mechanicsville_VA_23116_M57617-75850?view=qv,335000,4,2.5,2420,0.39,1989,9,Vinyl,Atlee
12,https://www.realtor.com/realestateandhomes-detail/8273-Sugar-Wood-Dr_Mechanicsville_VA_23116_M54239-21409?view=qv,334500,4,2.5,2312,0.46,2002,8,Vinyl,Atlee
13,https://www.realtor.com/realestateandhomes-detail/18506-Beaver-Dam-Rd_Beaverdam_VA_23015_M61250-24509?view=qv,249000,3,2,1926,1.65,1958,6,Brick,Patrick Henry
14,https://www.realtor.com/realestateandhomes-detail/11346-Morgan-Ct_Rockville_VA_23146_M62622-49082?view=qv,250000,3,2.5,1710,2.5,1996,8,Vinyl,Patrick Henry
15,https://www.realtor.com/realestateandhomes-detail/8139-Flannigan-Mill-Rd_Mechanicsville_VA_23111_M58162-19466?view=qv,514900,5,3.5,3403,3,1997,9,Brick,Lee Davis
16,https://www.realtor.com/realestateandhomes-detail/8082-Sinclair-Rd_Mechanicsville_VA_23111_M67244-23379?view=qv,309950,4,2.5,2643,1.38,1979,8,Vinyl,Lee Davis
17,https://www.realtor.com/realestateandhomes-detail/3375-Black-Creek-Dr_Mechanicsville_VA_23111_M64189-67747?view=qv,269950,4,2.5,2372,3.12,1975,8,Brick,Lee Davis
18,https://www.realtor.com/realestateandhomes-detail/5067-Pole-Green-Rd_Mechanicsville_VA_23116_M51990-74639?view=qv,325000,4,2,1879,2.03,1960,6,Vinyl,Hanover
19,https://www.realtor.com/realestateandhomes-detail/7409-Barnette-Ave_Mechanicsville_VA_23111_M61859-94893?view=qv,264950,3,2,1648,0.51,1960,7,Brick,Atlee
20,https://www.realtor.com/realestateandhomes-detail/14211-Hickory-Oaks-Ln_Ashland_VA_23005_M65762-88108?view=qv,449950,5,3.5,3400,4.61,1967,15,Brick,Patrick Henry
21,https://www.realtor.com/realestateandhomes-detail/14038-Big-Bear-Ct_Montpelier_VA_23192_M60638-44134?view=qv,629000,5,4.5,5003,3.04,1996,11,Brick,Patrick Henry
